"","id","level","children","m1"
"C.1.1.2.2.3.5.2","C.1.1.2.2.3.5.2",6,"",6
"C.1.1.2.3","C.1.1.2.3",3,"C.1.1.2.3.1,C.1.1.2.3.2,C.1.1.2.3.3,C.1.1.2.3.4,C.1.1.2.3.5",NA
"C.1.1.2.3.1","C.1.1.2.3.1",4,"C.1.1.2.3.1.1,C.1.1.2.3.1.2,C.1.1.2.3.1.3,C.1.1.2.3.1.4,C.1.1.2.3.1.5",NA
"C.1.1.2.3.1.1","C.1.1.2.3.1.1",5,"C.1.1.2.3.1.1.1,C.1.1.2.3.1.1.2,C.1.1.2.3.1.1.3,C.1.1.2.3.1.1.4,C.1.1.2.3.1.1.5",NA
"C.1.1.2.3.1.1.1","C.1.1.2.3.1.1.1",6,"",8
"C.1.1.2.3.1.1.2","C.1.1.2.3.1.1.2",6,"",9
"C.1.1.2.3.1.1.3","C.1.1.2.3.1.1.3",6,"",2
"C.1.1.2.3.1.1.4","C.1.1.2.3.1.1.4",6,"",6
"C.1.1.2.3.1.1.5","C.1.1.2.3.1.1.5",6,"",4
"C.1.1.2.3.1.2","C.1.1.2.3.1.2",5,"C.1.1.2.3.1.2.1,C.1.1.2.3.1.2.2",NA
"C.1.1.2.3.1.2.1","C.1.1.2.3.1.2.1",6,"",3
"C.1.1.2.3.1.2.2","C.1.1.2.3.1.2.2",6,"",3
"C.1.1.2.3.1.3","C.1.1.2.3.1.3",5,"C.1.1.2.3.1.3.1,C.1.1.2.3.1.3.2,C.1.1.2.3.1.3.3,C.1.1.2.3.1.3.4",NA
"C.1.1.2.3.1.3.1","C.1.1.2.3.1.3.1",6,"",8
"C.1.1.2.3.1.3.2","C.1.1.2.3.1.3.2",6,"",1
"C.1.1.2.3.1.3.3","C.1.1.2.3.1.3.3",6,"",3
"C.1.1.2.3.1.3.4","C.1.1.2.3.1.3.4",6,"",3
"C.1.1.2.3.1.4","C.1.1.2.3.1.4",5,"C.1.1.2.3.1.4.1,C.1.1.2.3.1.4.2,C.1.1.2.3.1.4.3,C.1.1.2.3.1.4.4,C.1.1.2.3.1.4.5",NA
"C.1.1.2.3.1.4.1","C.1.1.2.3.1.4.1",6,"",2
"C.1.1.2.3.1.4.2","C.1.1.2.3.1.4.2",6,"",1
"C.1.1.2.3.1.4.3","C.1.1.2.3.1.4.3",6,"",2
"C.1.1.2.3.1.4.4","C.1.1.2.3.1.4.4",6,"",10
"C.1.1.2.3.1.4.5","C.1.1.2.3.1.4.5",6,"",3
"C.1.1.2.3.1.5","C.1.1.2.3.1.5",5,"C.1.1.2.3.1.5.1,C.1.1.2.3.1.5.2",NA
"C.1.1.2.3.1.5.1","C.1.1.2.3.1.5.1",6,"",5
"C.1.1.2.3.1.5.2","C.1.1.2.3.1.5.2",6,"",8
"C.1.1.2.3.2","C.1.1.2.3.2",4,"C.1.1.2.3.2.1,C.1.1.2.3.2.2,C.1.1.2.3.2.3,C.1.1.2.3.2.4",NA
"C.1.1.2.3.2.1","C.1.1.2.3.2.1",5,"C.1.1.2.3.2.1.1,C.1.1.2.3.2.1.2",NA
"C.1.1.2.3.2.1.1","C.1.1.2.3.2.1.1",6,"",6
"C.1.1.2.3.2.1.2","C.1.1.2.3.2.1.2",6,"",2
"C.1.1.2.3.2.2","C.1.1.2.3.2.2",5,"C.1.1.2.3.2.2.1,C.1.1.2.3.2.2.2,C.1.1.2.3.2.2.3",NA
"C.1.1.2.3.2.2.1","C.1.1.2.3.2.2.1",6,"",7
"C.1.1.2.3.2.2.2","C.1.1.2.3.2.2.2",6,"",5
"C.1.1.2.3.2.2.3","C.1.1.2.3.2.2.3",6,"",4
"C.1.1.2.3.2.3","C.1.1.2.3.2.3",5,"C.1.1.2.3.2.3.1,C.1.1.2.3.2.3.2,C.1.1.2.3.2.3.3,C.1.1.2.3.2.3.4,C.1.1.2.3.2.3.5",NA
"C.1.1.2.3.2.3.1","C.1.1.2.3.2.3.1",6,"",5
"C.1.1.2.3.2.3.2","C.1.1.2.3.2.3.2",6,"",5
"C.1.1.2.3.2.3.3","C.1.1.2.3.2.3.3",6,"",5
"C.1.1.2.3.2.3.4","C.1.1.2.3.2.3.4",6,"",1
"C.1.1.2.3.2.3.5","C.1.1.2.3.2.3.5",6,"",10
"C.1.1.2.3.2.4","C.1.1.2.3.2.4",5,"C.1.1.2.3.2.4.1,C.1.1.2.3.2.4.2,C.1.1.2.3.2.4.3",NA
"C.1.1.2.3.2.4.1","C.1.1.2.3.2.4.1",6,"",3
"C.1.1.2.3.2.4.2","C.1.1.2.3.2.4.2",6,"",4
"C.1.1.2.3.2.4.3","C.1.1.2.3.2.4.3",6,"",3
"C.1.1.2.3.3","C.1.1.2.3.3",4,"C.1.1.2.3.3.1,C.1.1.2.3.3.2,C.1.1.2.3.3.3,C.1.1.2.3.3.4",NA
"C.1.1.2.3.3.1","C.1.1.2.3.3.1",5,"C.1.1.2.3.3.1.1,C.1.1.2.3.3.1.2,C.1.1.2.3.3.1.3,C.1.1.2.3.3.1.4",NA
"C.1.1.2.3.3.1.1","C.1.1.2.3.3.1.1",6,"",3
"C.1.1.2.3.3.1.2","C.1.1.2.3.3.1.2",6,"",3
"C.1.1.2.3.3.1.3","C.1.1.2.3.3.1.3",6,"",3
"C.1.1.2.3.3.1.4","C.1.1.2.3.3.1.4",6,"",3
"C.1.1.2.3.3.2","C.1.1.2.3.3.2",5,"C.1.1.2.3.3.2.1,C.1.1.2.3.3.2.2,C.1.1.2.3.3.2.3,C.1.1.2.3.3.2.4",NA
"C.1.1.2.3.3.2.1","C.1.1.2.3.3.2.1",6,"",7
"C.1.1.2.3.3.2.2","C.1.1.2.3.3.2.2",6,"",6
"C.1.1.2.3.3.2.3","C.1.1.2.3.3.2.3",6,"",1
"C.1.1.2.3.3.2.4","C.1.1.2.3.3.2.4",6,"",1
"C.1.1.2.3.3.3","C.1.1.2.3.3.3",5,"C.1.1.2.3.3.3.1,C.1.1.2.3.3.3.2",NA
"C.1.1.2.3.3.3.1","C.1.1.2.3.3.3.1",6,"",5
"C.1.1.2.3.3.3.2","C.1.1.2.3.3.3.2",6,"",4
"C.1.1.2.3.3.4","C.1.1.2.3.3.4",5,"C.1.1.2.3.3.4.1,C.1.1.2.3.3.4.2",NA
"C.1.1.2.3.3.4.1","C.1.1.2.3.3.4.1",6,"",2
"C.1.1.2.3.3.4.2","C.1.1.2.3.3.4.2",6,"",5
"C.1.1.2.3.4","C.1.1.2.3.4",4,"C.1.1.2.3.4.1,C.1.1.2.3.4.2",NA
"C.1.1.2.3.4.1","C.1.1.2.3.4.1",5,"C.1.1.2.3.4.1.1,C.1.1.2.3.4.1.2,C.1.1.2.3.4.1.3,C.1.1.2.3.4.1.4",NA
"C.1.1.2.3.4.1.1","C.1.1.2.3.4.1.1",6,"",8
"C.1.1.2.3.4.1.2","C.1.1.2.3.4.1.2",6,"",2
"C.1.1.2.3.4.1.3","C.1.1.2.3.4.1.3",6,"",7
"C.1.1.2.3.4.1.4","C.1.1.2.3.4.1.4",6,"",8
"C.1.1.2.3.4.2","C.1.1.2.3.4.2",5,"C.1.1.2.3.4.2.1,C.1.1.2.3.4.2.2,C.1.1.2.3.4.2.3",NA
"C.1.1.2.3.4.2.1","C.1.1.2.3.4.2.1",6,"",2
"C.1.1.2.3.4.2.2","C.1.1.2.3.4.2.2",6,"",5
"C.1.1.2.3.4.2.3","C.1.1.2.3.4.2.3",6,"",10
"C.1.1.2.3.5","C.1.1.2.3.5",4,"C.1.1.2.3.5.1,C.1.1.2.3.5.2,C.1.1.2.3.5.3,C.1.1.2.3.5.4",NA
"C.1.1.2.3.5.1","C.1.1.2.3.5.1",5,"C.1.1.2.3.5.1.1,C.1.1.2.3.5.1.2",NA
"C.1.1.2.3.5.1.1","C.1.1.2.3.5.1.1",6,"",5
"C.1.1.2.3.5.1.2","C.1.1.2.3.5.1.2",6,"",6
"C.1.1.2.3.5.2","C.1.1.2.3.5.2",5,"C.1.1.2.3.5.2.1,C.1.1.2.3.5.2.2,C.1.1.2.3.5.2.3",NA
"C.1.1.2.3.5.2.1","C.1.1.2.3.5.2.1",6,"",4
"C.1.1.2.3.5.2.2","C.1.1.2.3.5.2.2",6,"",10
"C.1.1.2.3.5.2.3","C.1.1.2.3.5.2.3",6,"",3
"C.1.1.2.3.5.3","C.1.1.2.3.5.3",5,"C.1.1.2.3.5.3.1,C.1.1.2.3.5.3.2,C.1.1.2.3.5.3.3,C.1.1.2.3.5.3.4,C.1.1.2.3.5.3.5",NA
"C.1.1.2.3.5.3.1","C.1.1.2.3.5.3.1",6,"",7
"C.1.1.2.3.5.3.2","C.1.1.2.3.5.3.2",6,"",10
"C.1.1.2.3.5.3.3","C.1.1.2.3.5.3.3",6,"",4
"C.1.1.2.3.5.3.4","C.1.1.2.3.5.3.4",6,"",7
"C.1.1.2.3.5.3.5","C.1.1.2.3.5.3.5",6,"",8
"C.1.1.2.3.5.4","C.1.1.2.3.5.4",5,"C.1.1.2.3.5.4.1,C.1.1.2.3.5.4.2",NA
"C.1.1.2.3.5.4.1","C.1.1.2.3.5.4.1",6,"",5
"C.1.1.2.3.5.4.2","C.1.1.2.3.5.4.2",6,"",2
"C.1.1.3","C.1.1.3",2,"C.1.1.3.1,C.1.1.3.2,C.1.1.3.3,C.1.1.3.4,C.1.1.3.5",NA
"C.1.1.3.1","C.1.1.3.1",3,"C.1.1.3.1.1,C.1.1.3.1.2,C.1.1.3.1.3,C.1.1.3.1.4",NA
"C.1.1.3.1.1","C.1.1.3.1.1",4,"C.1.1.3.1.1.1,C.1.1.3.1.1.2",NA
"C.1.1.3.1.1.1","C.1.1.3.1.1.1",5,"C.1.1.3.1.1.1.1,C.1.1.3.1.1.1.2,C.1.1.3.1.1.1.3,C.1.1.3.1.1.1.4,C.1.1.3.1.1.1.5",NA
"C.1.1.3.1.1.1.1","C.1.1.3.1.1.1.1",6,"",10
"C.1.1.3.1.1.1.2","C.1.1.3.1.1.1.2",6,"",3
"C.1.1.3.1.1.1.3","C.1.1.3.1.1.1.3",6,"",9
"C.1.1.3.1.1.1.4","C.1.1.3.1.1.1.4",6,"",6
"C.1.1.3.1.1.1.5","C.1.1.3.1.1.1.5",6,"",4
"C.1.1.3.1.1.2","C.1.1.3.1.1.2",5,"C.1.1.3.1.1.2.1,C.1.1.3.1.1.2.2,C.1.1.3.1.1.2.3",NA
"C.1.1.3.1.1.2.1","C.1.1.3.1.1.2.1",6,"",8
"C.1.1.3.1.1.2.2","C.1.1.3.1.1.2.2",6,"",5
"C.1.1.3.1.1.2.3","C.1.1.3.1.1.2.3",6,"",3
"C.1.1.3.1.2","C.1.1.3.1.2",4,"C.1.1.3.1.2.1,C.1.1.3.1.2.2,C.1.1.3.1.2.3",NA
"C.1.1.3.1.2.1","C.1.1.3.1.2.1",5,"C.1.1.3.1.2.1.1,C.1.1.3.1.2.1.2",NA
"C.1.1.3.1.2.1.1","C.1.1.3.1.2.1.1",6,"",5
"C.1.1.3.1.2.1.2","C.1.1.3.1.2.1.2",6,"",4
"C.1.1.3.1.2.2","C.1.1.3.1.2.2",5,"C.1.1.3.1.2.2.1,C.1.1.3.1.2.2.2,C.1.1.3.1.2.2.3,C.1.1.3.1.2.2.4",NA
"C.1.1.3.1.2.2.1","C.1.1.3.1.2.2.1",6,"",10
"C.1.1.3.1.2.2.2","C.1.1.3.1.2.2.2",6,"",3
"C.1.1.3.1.2.2.3","C.1.1.3.1.2.2.3",6,"",1
"C.1.1.3.1.2.2.4","C.1.1.3.1.2.2.4",6,"",9
"C.1.1.3.1.2.3","C.1.1.3.1.2.3",5,"C.1.1.3.1.2.3.1,C.1.1.3.1.2.3.2",NA
"C.1.1.3.1.2.3.1","C.1.1.3.1.2.3.1",6,"",3
"C.1.1.3.1.2.3.2","C.1.1.3.1.2.3.2",6,"",5
"C.1.1.3.1.3","C.1.1.3.1.3",4,"C.1.1.3.1.3.1,C.1.1.3.1.3.2,C.1.1.3.1.3.3,C.1.1.3.1.3.4",NA
"C.1.1.3.1.3.1","C.1.1.3.1.3.1",5,"C.1.1.3.1.3.1.1,C.1.1.3.1.3.1.2,C.1.1.3.1.3.1.3,C.1.1.3.1.3.1.4",NA
"C.1.1.3.1.3.1.1","C.1.1.3.1.3.1.1",6,"",7
"C.1.1.3.1.3.1.2","C.1.1.3.1.3.1.2",6,"",3
"C.1.1.3.1.3.1.3","C.1.1.3.1.3.1.3",6,"",9
"C.1.1.3.1.3.1.4","C.1.1.3.1.3.1.4",6,"",9
"C.1.1.3.1.3.2","C.1.1.3.1.3.2",5,"C.1.1.3.1.3.2.1,C.1.1.3.1.3.2.2,C.1.1.3.1.3.2.3",NA
"C.1.1.3.1.3.2.1","C.1.1.3.1.3.2.1",6,"",2
"C.1.1.3.1.3.2.2","C.1.1.3.1.3.2.2",6,"",9
"C.1.1.3.1.3.2.3","C.1.1.3.1.3.2.3",6,"",6
"C.1.1.3.1.3.3","C.1.1.3.1.3.3",5,"C.1.1.3.1.3.3.1,C.1.1.3.1.3.3.2,C.1.1.3.1.3.3.3",NA
"C.1.1.3.1.3.3.1","C.1.1.3.1.3.3.1",6,"",10
"C.1.1.3.1.3.3.2","C.1.1.3.1.3.3.2",6,"",9
"C.1.1.3.1.3.3.3","C.1.1.3.1.3.3.3",6,"",7
"C.1.1.3.1.3.4","C.1.1.3.1.3.4",5,"C.1.1.3.1.3.4.1,C.1.1.3.1.3.4.2,C.1.1.3.1.3.4.3,C.1.1.3.1.3.4.4",NA
"C.1.1.3.1.3.4.1","C.1.1.3.1.3.4.1",6,"",1
"C.1.1.3.1.3.4.2","C.1.1.3.1.3.4.2",6,"",1
"C.1.1.3.1.3.4.3","C.1.1.3.1.3.4.3",6,"",1
"C.1.1.3.1.3.4.4","C.1.1.3.1.3.4.4",6,"",6
"C.1.1.3.1.4","C.1.1.3.1.4",4,"C.1.1.3.1.4.1,C.1.1.3.1.4.2,C.1.1.3.1.4.3",NA
"C.1.1.3.1.4.1","C.1.1.3.1.4.1",5,"C.1.1.3.1.4.1.1,C.1.1.3.1.4.1.2",NA
"C.1.1.3.1.4.1.1","C.1.1.3.1.4.1.1",6,"",9
"C.1.1.3.1.4.1.2","C.1.1.3.1.4.1.2",6,"",3
"C.1.1.3.1.4.2","C.1.1.3.1.4.2",5,"C.1.1.3.1.4.2.1,C.1.1.3.1.4.2.2,C.1.1.3.1.4.2.3,C.1.1.3.1.4.2.4",NA
"C.1.1.3.1.4.2.1","C.1.1.3.1.4.2.1",6,"",7
"C.1.1.3.1.4.2.2","C.1.1.3.1.4.2.2",6,"",4
"C.1.1.3.1.4.2.3","C.1.1.3.1.4.2.3",6,"",9
"C.1.1.3.1.4.2.4","C.1.1.3.1.4.2.4",6,"",1
"C.1.1.3.1.4.3","C.1.1.3.1.4.3",5,"C.1.1.3.1.4.3.1,C.1.1.3.1.4.3.2",NA
"C.1.1.3.1.4.3.1","C.1.1.3.1.4.3.1",6,"",1
"C.1.1.3.1.4.3.2","C.1.1.3.1.4.3.2",6,"",8
"C.1.1.3.2","C.1.1.3.2",3,"C.1.1.3.2.1,C.1.1.3.2.2,C.1.1.3.2.3,C.1.1.3.2.4",NA
"C.1.1.3.2.1","C.1.1.3.2.1",4,"C.1.1.3.2.1.1,C.1.1.3.2.1.2,C.1.1.3.2.1.3,C.1.1.3.2.1.4",NA
"C.1.1.3.2.1.1","C.1.1.3.2.1.1",5,"C.1.1.3.2.1.1.1,C.1.1.3.2.1.1.2,C.1.1.3.2.1.1.3,C.1.1.3.2.1.1.4,C.1.1.3.2.1.1.5",NA
"C.1.1.3.2.1.1.1","C.1.1.3.2.1.1.1",6,"",10
"C.1.1.3.2.1.1.2","C.1.1.3.2.1.1.2",6,"",2
"C.1.1.3.2.1.1.3","C.1.1.3.2.1.1.3",6,"",6
"C.1.1.3.2.1.1.4","C.1.1.3.2.1.1.4",6,"",7
"C.1.1.3.2.1.1.5","C.1.1.3.2.1.1.5",6,"",8
"C.1.1.3.2.1.2","C.1.1.3.2.1.2",5,"C.1.1.3.2.1.2.1,C.1.1.3.2.1.2.2,C.1.1.3.2.1.2.3,C.1.1.3.2.1.2.4",NA
"C.1.1.3.2.1.2.1","C.1.1.3.2.1.2.1",6,"",2
"C.1.1.3.2.1.2.2","C.1.1.3.2.1.2.2",6,"",5
"C.1.1.3.2.1.2.3","C.1.1.3.2.1.2.3",6,"",4
"C.1.1.3.2.1.2.4","C.1.1.3.2.1.2.4",6,"",7
"C.1.1.3.2.1.3","C.1.1.3.2.1.3",5,"C.1.1.3.2.1.3.1,C.1.1.3.2.1.3.2,C.1.1.3.2.1.3.3,C.1.1.3.2.1.3.4",NA
"C.1.1.3.2.1.3.1","C.1.1.3.2.1.3.1",6,"",1
"C.1.1.3.2.1.3.2","C.1.1.3.2.1.3.2",6,"",7
"C.1.1.3.2.1.3.3","C.1.1.3.2.1.3.3",6,"",6
"C.1.1.3.2.1.3.4","C.1.1.3.2.1.3.4",6,"",1
"C.1.1.3.2.1.4","C.1.1.3.2.1.4",5,"C.1.1.3.2.1.4.1,C.1.1.3.2.1.4.2,C.1.1.3.2.1.4.3,C.1.1.3.2.1.4.4",NA
"C.1.1.3.2.1.4.1","C.1.1.3.2.1.4.1",6,"",9
"C.1.1.3.2.1.4.2","C.1.1.3.2.1.4.2",6,"",10
"C.1.1.3.2.1.4.3","C.1.1.3.2.1.4.3",6,"",9
"C.1.1.3.2.1.4.4","C.1.1.3.2.1.4.4",6,"",1
"C.1.1.3.2.2","C.1.1.3.2.2",4,"C.1.1.3.2.2.1,C.1.1.3.2.2.2,C.1.1.3.2.2.3,C.1.1.3.2.2.4,C.1.1.3.2.2.5",NA
"C.1.1.3.2.2.1","C.1.1.3.2.2.1",5,"C.1.1.3.2.2.1.1,C.1.1.3.2.2.1.2,C.1.1.3.2.2.1.3",NA
"C.1.1.3.2.2.1.1","C.1.1.3.2.2.1.1",6,"",3
"C.1.1.3.2.2.1.2","C.1.1.3.2.2.1.2",6,"",9
"C.1.1.3.2.2.1.3","C.1.1.3.2.2.1.3",6,"",10
"C.1.1.3.2.2.2","C.1.1.3.2.2.2",5,"C.1.1.3.2.2.2.1,C.1.1.3.2.2.2.2,C.1.1.3.2.2.2.3,C.1.1.3.2.2.2.4",NA
"C.1.1.3.2.2.2.1","C.1.1.3.2.2.2.1",6,"",8
"C.1.1.3.2.2.2.2","C.1.1.3.2.2.2.2",6,"",4
"C.1.1.3.2.2.2.3","C.1.1.3.2.2.2.3",6,"",1
"C.1.1.3.2.2.2.4","C.1.1.3.2.2.2.4",6,"",2
"C.1.1.3.2.2.3","C.1.1.3.2.2.3",5,"C.1.1.3.2.2.3.1,C.1.1.3.2.2.3.2,C.1.1.3.2.2.3.3",NA
"C.1.1.3.2.2.3.1","C.1.1.3.2.2.3.1",6,"",6
"C.1.1.3.2.2.3.2","C.1.1.3.2.2.3.2",6,"",2
"C.1.1.3.2.2.3.3","C.1.1.3.2.2.3.3",6,"",2
"C.1.1.3.2.2.4","C.1.1.3.2.2.4",5,"C.1.1.3.2.2.4.1,C.1.1.3.2.2.4.2,C.1.1.3.2.2.4.3",NA
"C.1.1.3.2.2.4.1","C.1.1.3.2.2.4.1",6,"",1
"C.1.1.3.2.2.4.2","C.1.1.3.2.2.4.2",6,"",9
"C.1.1.3.2.2.4.3","C.1.1.3.2.2.4.3",6,"",5
"C.1.1.3.2.2.5","C.1.1.3.2.2.5",5,"C.1.1.3.2.2.5.1,C.1.1.3.2.2.5.2",NA
"C.1.1.3.2.2.5.1","C.1.1.3.2.2.5.1",6,"",6
"C.1.1.3.2.2.5.2","C.1.1.3.2.2.5.2",6,"",2
"C.1.1.3.2.3","C.1.1.3.2.3",4,"C.1.1.3.2.3.1,C.1.1.3.2.3.2,C.1.1.3.2.3.3",NA
"C.1.1.3.2.3.1","C.1.1.3.2.3.1",5,"C.1.1.3.2.3.1.1,C.1.1.3.2.3.1.2",NA
"C.1.1.3.2.3.1.1","C.1.1.3.2.3.1.1",6,"",8
"C.1.1.3.2.3.1.2","C.1.1.3.2.3.1.2",6,"",3
"C.1.1.3.2.3.2","C.1.1.3.2.3.2",5,"C.1.1.3.2.3.2.1,C.1.1.3.2.3.2.2",NA
"C.1.1.3.2.3.2.1","C.1.1.3.2.3.2.1",6,"",3
"C.1.1.3.2.3.2.2","C.1.1.3.2.3.2.2",6,"",3
"C.1.1.3.2.3.3","C.1.1.3.2.3.3",5,"C.1.1.3.2.3.3.1,C.1.1.3.2.3.3.2",NA
"C.1.1.3.2.3.3.1","C.1.1.3.2.3.3.1",6,"",8
"C.1.1.3.2.3.3.2","C.1.1.3.2.3.3.2",6,"",10
"C.1.1.3.2.4","C.1.1.3.2.4",4,"C.1.1.3.2.4.1,C.1.1.3.2.4.2,C.1.1.3.2.4.3,C.1.1.3.2.4.4",NA
"C.1.1.3.2.4.1","C.1.1.3.2.4.1",5,"C.1.1.3.2.4.1.1,C.1.1.3.2.4.1.2,C.1.1.3.2.4.1.3",NA
"C.1.1.3.2.4.1.1","C.1.1.3.2.4.1.1",6,"",9
"C.1.1.3.2.4.1.2","C.1.1.3.2.4.1.2",6,"",9
"C.1.1.3.2.4.1.3","C.1.1.3.2.4.1.3",6,"",8
"C.1.1.3.2.4.2","C.1.1.3.2.4.2",5,"C.1.1.3.2.4.2.1,C.1.1.3.2.4.2.2,C.1.1.3.2.4.2.3",NA
"C.1.1.3.2.4.2.1","C.1.1.3.2.4.2.1",6,"",1
"C.1.1.3.2.4.2.2","C.1.1.3.2.4.2.2",6,"",1
"C.1.1.3.2.4.2.3","C.1.1.3.2.4.2.3",6,"",10
"C.1.1.3.2.4.3","C.1.1.3.2.4.3",5,"C.1.1.3.2.4.3.1,C.1.1.3.2.4.3.2",NA
"C.1.1.3.2.4.3.1","C.1.1.3.2.4.3.1",6,"",3
"C.1.1.3.2.4.3.2","C.1.1.3.2.4.3.2",6,"",3
"C.1.1.3.2.4.4","C.1.1.3.2.4.4",5,"C.1.1.3.2.4.4.1,C.1.1.3.2.4.4.2",NA
"C.1.1.3.2.4.4.1","C.1.1.3.2.4.4.1",6,"",5
"C.1.1.3.2.4.4.2","C.1.1.3.2.4.4.2",6,"",8
"C.1.1.3.3","C.1.1.3.3",3,"C.1.1.3.3.1,C.1.1.3.3.2,C.1.1.3.3.3,C.1.1.3.3.4",NA
"C.1.1.3.3.1","C.1.1.3.3.1",4,"C.1.1.3.3.1.1,C.1.1.3.3.1.2,C.1.1.3.3.1.3,C.1.1.3.3.1.4",NA
"C.1.1.3.3.1.1","C.1.1.3.3.1.1",5,"C.1.1.3.3.1.1.1,C.1.1.3.3.1.1.2",NA
"C.1.1.3.3.1.1.1","C.1.1.3.3.1.1.1",6,"",10
"C.1.1.3.3.1.1.2","C.1.1.3.3.1.1.2",6,"",5
"C.1.1.3.3.1.2","C.1.1.3.3.1.2",5,"C.1.1.3.3.1.2.1,C.1.1.3.3.1.2.2,C.1.1.3.3.1.2.3",NA
"C.1.1.3.3.1.2.1","C.1.1.3.3.1.2.1",6,"",3
"C.1.1.3.3.1.2.2","C.1.1.3.3.1.2.2",6,"",10
"C.1.1.3.3.1.2.3","C.1.1.3.3.1.2.3",6,"",5
"C.1.1.3.3.1.3","C.1.1.3.3.1.3",5,"C.1.1.3.3.1.3.1,C.1.1.3.3.1.3.2,C.1.1.3.3.1.3.3,C.1.1.3.3.1.3.4,C.1.1.3.3.1.3.5",NA
"C.1.1.3.3.1.3.1","C.1.1.3.3.1.3.1",6,"",2
"C.1.1.3.3.1.3.2","C.1.1.3.3.1.3.2",6,"",4
"C.1.1.3.3.1.3.3","C.1.1.3.3.1.3.3",6,"",7
"C.1.1.3.3.1.3.4","C.1.1.3.3.1.3.4",6,"",10
"C.1.1.3.3.1.3.5","C.1.1.3.3.1.3.5",6,"",4
"C.1.1.3.3.1.4","C.1.1.3.3.1.4",5,"C.1.1.3.3.1.4.1,C.1.1.3.3.1.4.2",NA
"C.1.1.3.3.1.4.1","C.1.1.3.3.1.4.1",6,"",10
"C.1.1.3.3.1.4.2","C.1.1.3.3.1.4.2",6,"",6
"C.1.1.3.3.2","C.1.1.3.3.2",4,"C.1.1.3.3.2.1,C.1.1.3.3.2.2",NA
"C.1.1.3.3.2.1","C.1.1.3.3.2.1",5,"C.1.1.3.3.2.1.1,C.1.1.3.3.2.1.2,C.1.1.3.3.2.1.3,C.1.1.3.3.2.1.4,C.1.1.3.3.2.1.5",NA
"C.1.1.3.3.2.1.1","C.1.1.3.3.2.1.1",6,"",10
"C.1.1.3.3.2.1.2","C.1.1.3.3.2.1.2",6,"",6
"C.1.1.3.3.2.1.3","C.1.1.3.3.2.1.3",6,"",10
"C.1.1.3.3.2.1.4","C.1.1.3.3.2.1.4",6,"",3
"C.1.1.3.3.2.1.5","C.1.1.3.3.2.1.5",6,"",6
"C.1.1.3.3.2.2","C.1.1.3.3.2.2",5,"C.1.1.3.3.2.2.1,C.1.1.3.3.2.2.2,C.1.1.3.3.2.2.3",NA
"C.1.1.3.3.2.2.1","C.1.1.3.3.2.2.1",6,"",3
"C.1.1.3.3.2.2.2","C.1.1.3.3.2.2.2",6,"",7
"C.1.1.3.3.2.2.3","C.1.1.3.3.2.2.3",6,"",8
"C.1.1.3.3.3","C.1.1.3.3.3",4,"C.1.1.3.3.3.1,C.1.1.3.3.3.2,C.1.1.3.3.3.3,C.1.1.3.3.3.4,C.1.1.3.3.3.5",NA
"C.1.1.3.3.3.1","C.1.1.3.3.3.1",5,"C.1.1.3.3.3.1.1,C.1.1.3.3.3.1.2,C.1.1.3.3.3.1.3,C.1.1.3.3.3.1.4",NA
"C.1.1.3.3.3.1.1","C.1.1.3.3.3.1.1",6,"",4
"C.1.1.3.3.3.1.2","C.1.1.3.3.3.1.2",6,"",9
"C.1.1.3.3.3.1.3","C.1.1.3.3.3.1.3",6,"",8
"C.1.1.3.3.3.1.4","C.1.1.3.3.3.1.4",6,"",4
"C.1.1.3.3.3.2","C.1.1.3.3.3.2",5,"C.1.1.3.3.3.2.1,C.1.1.3.3.3.2.2",NA
"C.1.1.3.3.3.2.1","C.1.1.3.3.3.2.1",6,"",10
"C.1.1.3.3.3.2.2","C.1.1.3.3.3.2.2",6,"",1
"C.1.1.3.3.3.3","C.1.1.3.3.3.3",5,"C.1.1.3.3.3.3.1,C.1.1.3.3.3.3.2,C.1.1.3.3.3.3.3,C.1.1.3.3.3.3.4,C.1.1.3.3.3.3.5",NA
"C.1.1.3.3.3.3.1","C.1.1.3.3.3.3.1",6,"",2
"C.1.1.3.3.3.3.2","C.1.1.3.3.3.3.2",6,"",2
"C.1.1.3.3.3.3.3","C.1.1.3.3.3.3.3",6,"",10
"C.1.1.3.3.3.3.4","C.1.1.3.3.3.3.4",6,"",4
"C.1.1.3.3.3.3.5","C.1.1.3.3.3.3.5",6,"",9
"C.1.1.3.3.3.4","C.1.1.3.3.3.4",5,"C.1.1.3.3.3.4.1,C.1.1.3.3.3.4.2,C.1.1.3.3.3.4.3",NA
"C.1.1.3.3.3.4.1","C.1.1.3.3.3.4.1",6,"",5
"C.1.1.3.3.3.4.2","C.1.1.3.3.3.4.2",6,"",10
"C.1.1.3.3.3.4.3","C.1.1.3.3.3.4.3",6,"",7
"C.1.1.3.3.3.5","C.1.1.3.3.3.5",5,"C.1.1.3.3.3.5.1,C.1.1.3.3.3.5.2,C.1.1.3.3.3.5.3,C.1.1.3.3.3.5.4",NA
"C.1.1.3.3.3.5.1","C.1.1.3.3.3.5.1",6,"",7
"C.1.1.3.3.3.5.2","C.1.1.3.3.3.5.2",6,"",7
"C.1.1.3.3.3.5.3","C.1.1.3.3.3.5.3",6,"",9
